codprod,codmarca,codepto,codsec
14506,35,10006,10013
14507,1,2,10043
14514,39,10010,10028
14563,47,10002,10034
14429,14,2,10043
14515,39,10010,10028
14516,39,10002,10034
14517,86,1,10041
14531,52,1,10042
14532,52,1,10040
14564,47,10002,10034
14763,39,10002,10052
14764,7,1,10040
14811,63,1,10040
14900,93,1,10041
14566,39,10002,10033
14567,39,10002,10018
14568,88,1,10040
14569,28,1,10040
14570,39,10002,10033
14796,1,1,10040
14957,90,10002,10034
14967,60,1,10040
14968,60,1,10041
14571,39,10002,10033
14572,39,10002,10033
14573,39,10010,10028
14574,39,10002,10034
14731,39,10002,10031
14809,39,10002,10031
14969,47,10002,10034
122158,39,10010,10028
14732,39,10002,10031
14812,95,1,10040
14964,52,1,10040
15008,39,10002,10018
14305,78,10007,10048
14306,78,10007,10048
14307,39,10010,10028
14657,39,10002,10036
14823,39,10002,10031
14824,93,1,10041
14909,39,10002,10035
14910,39,10002,10034
14659,7,1,10040
14806,91,10010,10028
14819,88,1,10040
14965,39,10002,10034
14966,60,1,10041
14528,52,1,10040
14919,1,2,10043
14945,39,10002,10031
14706,88,1,10041
14654,90,10002,10034
87793,null,1,10041
897765,null,1,10041
14707,92,10002,10034
14936,39,10002,10033
14708,92,10002,10034
14797,39,10002,10018
912703,1,1,10041
14963,51,10002,10034
14709,39,10002,10052
14937,39,10002,10033
